District,Headquarter,Population,Area,Density,state
Anantapur,Anantapur,"4,083,315","19,130",213,Andhra Pradesh (AP)
Chittoor,Chittoor,"4,170,468","15,152",275,Andhra Pradesh (AP)
East Godavari,Kakinada,"5,151,549","10,807",477,Andhra Pradesh (AP)
Guntur,Guntur,"4,889,230","11,391",429,Andhra Pradesh (AP)
Kadapa,Kadapa,"2,884,524","15,359",188,Andhra Pradesh (AP)
Krishna,Machilipatnam,"4,529,009","8,727",519,Andhra Pradesh (AP)
Kurnool,Kurnool,"4,046,601","17,658",229,Andhra Pradesh (AP)
Prakasam,Ongole,"3,392,764","17,626",192,Andhra Pradesh (AP)
Sri Potti Sriramulu Nellore,Nellore,"2,966,082","13,076",227,Andhra Pradesh (AP)
Srikakulam,Srikakulam,"2,699,471","5,837",462,Andhra Pradesh (AP)
Visakhapatnam,Visakhapatnam,"4,288,113","11,161",384,Andhra Pradesh (AP)
Vizianagaram,Vizianagaram,"2,342,868","6,539",358,Andhra Pradesh (AP)
West Godavari,Eluru,"3,934,782","7,742",508,Andhra Pradesh (AP)
Anjaw,Hawai,"21,089","6,190",3,Arunachal Pradesh (AR)
Changlang,Changlang,"147,951","4,662",32,Arunachal Pradesh (AR)
East Kameng,Seppa,"78,413","4,134",19,Arunachal Pradesh (AR)
East Siang,Pasighat,"99,019","3,603",27,Arunachal Pradesh (AR)
Kamle,Raga,"22,256",200,111,Arunachal Pradesh (AR)
Kra Daadi,Jamin, –, –, –,Arunachal Pradesh (AR)
Kurung Kumey,Koloriang,"89,717","6,040",15,Arunachal Pradesh (AR)
Lepa Rada,Basar, –, –, –,Arunachal Pradesh (AR)
Lohit,Tezu,"145,538","2,402",61,Arunachal Pradesh (AR)
Longding,Longding,"60,000","1,200",50,Arunachal Pradesh (AR)
Lower Dibang Valley,Roing,"53,986","3,900",14,Arunachal Pradesh (AR)
Lower Siang,Likabali,"80,597", –, –,Arunachal Pradesh (AR)
Lower Subansiri,Ziro,"82,839","3,508",24,Arunachal Pradesh (AR)
Namsai,Namsai,"95,950","1,587",60,Arunachal Pradesh (AR)
Pakke-Kessang,Lemmi, –, –, –,Arunachal Pradesh (AR)
Papum Pare,Yupia,"176,385","2,875",61,Arunachal Pradesh (AR)
Shi Yomi,Tato,"13,310","2,875",5,Arunachal Pradesh (AR)
Siang,Pangin,"31,920","2,919",11,Arunachal Pradesh (AR)
Tawang,Tawang Town,"49,950","2,085",24,Arunachal Pradesh (AR)
Tirap,Khonsa,"111,997","2,362",47,Arunachal Pradesh (AR)
Upper Dibang Valley,Anini,"7,948","9,129",1,Arunachal Pradesh (AR)
Upper Siang,Yingkiong,"35,289","6,188",6,Arunachal Pradesh (AR)
Upper Subansiri,Daporijo,"83,205","7,032",12,Arunachal Pradesh (AR)
West Kameng,Bomdila,"87,013","7,422",12,Arunachal Pradesh (AR)
West Siang,Along,"112,272","8,325",align=right,
Baksa,Mushalpur,"953,773","2,008",475,Assam (AS)
Barpeta,Barpeta,"1,693,190","3,245",522,Assam (AS)
Bishwanath,Bishwanath Chariali,"612,491 [Note 1]","1,100",560,Assam (AS)
Bongaigaon,Bongaigaon,"732,639","1,724",425,Assam (AS)
Cachar,Silchar,"1,736,319","3,786",459,Assam (AS)
Charaideo,Sonari, – [Note 2], –, –,Assam (AS)
Chirang,Kajalgaon,"481,818","1,975",244,Assam (AS)
Darrang,Mangaldoi,"908,090","1,849",491,Assam (AS)
Dhemaji,Dhemaji,"688,077","3,237",213,Assam (AS)
Dhubri,Dhubri,"1,948,632","2,838",687,Assam (AS)
Dibrugarh,Dibrugarh,"1,327,748","3,381",393,Assam (AS)
Dima Hasao,Haflong,"213,529","4,888",44,Assam (AS)
Goalpara,Goalpara,"1,008,959","1,824",553,Assam (AS)
Golaghat,Golaghat,"1,058,674","3,502",302,Assam (AS)
Hailakandi,Hailakandi,"659,260","1,327",497,Assam (AS)
Hojai,Hojai,"9,31,218 [Note 3]", –, –,Assam (AS)
Jorhat,Jorhat,"1,091,295","2,851",383,Assam (AS)
Kamrup,Amingaon,"1,517,202","3,480",436,Assam (AS)
Kamrup Metropolitan,Guwahati,"1,260,419",627,"2,010",Assam (AS)
Karbi Anglong,Diphu,"965,280","10,434",93,Assam (AS)
Karimganj,Karimganj,"1,217,002","1,809",673,Assam (AS)
Kokrajhar,Kokrajhar,"886,999","3,129",283,Assam (AS)
Lakhimpur,North Lakhimpur,"1,040,644","2,277",457,Assam (AS)
Majuli,Garamur,"1,67,304 [Note 4]",880,300,Assam (AS)
Morigaon,Marigaon,"957,853","1,704",562,Assam (AS)
Nagaon,Nagaon,"2,826,006","3,831",738,Assam (AS)
Nalbari,Nalbari,"769,919","1,009",763,Assam (AS)
Sivasagar,Sibsagar,"1,150,253","2,668",431,Assam (AS)
South Salmara,Hatsingimari,"555,114 [Note 5]",568,980,Assam (AS)
Sonitpur,Tezpur,"1,925,975","5,324",362,Assam (AS)
Tinsukia,Tinsukia,"1,316,948","3,790",347,Assam (AS)
Udalguri,Udalguri,"832,769","1,676",497,Assam (AS)
West Karbi Anglong,Hamren,"3,00,320 [Note 6]","3,035",99,Assam (AS)
Araria,Araria,"2,806,200","2,829",992,Bihar (BR)
Arwal,Arwal,"700,843",638,"1,098",Bihar (BR)
Aurangabad,Aurangabad,"2,511,243","3,303",760,Bihar (BR)
Banka,Banka,"2,029,339","3,018",672,Bihar (BR)
Begusarai,Begusarai,"2,954,367","1,917","1,540",Bihar (BR)
Bhagalpur,Bhagalpur,"3,032,226","2,569","1,180",Bihar (BR)
Bhojpur,Arrah,"2,720,155","2,473","1,136",Bihar (BR)
Buxar,Buxar,"1,707,643","1,624","1,003",Bihar (BR)
Darbhanga,Darbhanga,"3,921,971","2,278","1,721",Bihar (BR)
East Champaran,Motihari,"5,082,868","3,969","1,281",Bihar (BR)
Gaya,Gaya,"4,379,383","4,978",880,Bihar (BR)
Gopalganj,Gopalganj,"2,558,037","2,033","1,258",Bihar (BR)
Jamui,Jamui,"1,756,078","3,099",567,Bihar (BR)
Jehanabad,Jehanabad,"1,124,176","1,569","1,206",Bihar (BR)
Kaimur,Bhabua,"1,626,900","3,363",488,Bihar (BR)
Katihar,Katihar,"3,068,149","3,056","1,004",Bihar (BR)
Khagaria,Khagaria,"1,657,599","1,486","1,115",Bihar (BR)
Kishanganj,Kishanganj,"1,690,948","1,884",898,Bihar (BR)
Lakhisarai,Lakhisarai,"1,000,717","1,229",815,Bihar (BR)
Madhepura,Madhepura,"1,994,618","1,787","1,116",Bihar (BR)
Madhubani,Madhubani,"4,476,044","3,501","1,279",Bihar (BR)
Munger,Munger,"1,359,054","1,419",958,Bihar (BR)
Muzaffarpur,Muzaffarpur,"4,778,610","3,173","1,506",Bihar (BR)
Nalanda,Bihar Sharif,"2,872,523","2,354","1,220",Bihar (BR)
Nawada,Nawada,"2,216,653","2,492",889,Bihar (BR)
Patna,Patna,"5,772,804","3,202","1,803",Bihar (BR)
Purnia,Purnia,"3,273,127","3,228","1,014",Bihar (BR)
Rohtas,Sasaram,"2,962,593","3,850",763,Bihar (BR)
Saharsa,Saharsa,"1,897,102","1,702","1,125",Bihar (BR)
Samastipur,Samastipur,"4,254,782","2,905","1,465",Bihar (BR)
Saran,Chhapra,"3,943,098","2,641","1,493",Bihar (BR)
Sheikhpura,Sheikhpura,"634,927",689,922,Bihar (BR)
Sheohar,Sheohar,"656,916",443,"1,882",Bihar (BR)
Sitamarhi,Sitamarhi,"3,419,622","2,199","1,491",Bihar (BR)
Siwan,Siwan,"3,318,176","2,219","1,495",Bihar (BR)
Supaul,Supaul,"2,228,397","2,410",919,Bihar (BR)
Vaishali,Hajipur,"3,495,021","2,036","1,717",Bihar (BR)
West Champaran,Bettiah,"3,935,042","5,229",753,Bihar (BR)
Balod,Balod,"8,26,165","3,527",234,Chhattisgarh (CG)
Baloda Bazar,Baloda Bazar,"1,305,343","4,748",275,Chhattisgarh (CG)
Balrampur,Balrampur,"5,98,855","3,806",157,Chhattisgarh (CG)
Bastar,Jagdalpur,"1,302,253","4,030",87,Chhattisgarh (CG)
Bemetara,Bemetara,"1,97,035","2,855",69,Chhattisgarh (CG)
Bijapur,Bijapur,"2,29,832","6,562",35,Chhattisgarh (CG)
Bilaspur,Bilaspur,"1,961,922","5,818",337,Chhattisgarh (CG)
Dantewada,Dantewada,"5,33,638","3,411",59,Chhattisgarh (CG)
Dhamtari,Dhamtari,"7,99,199","2,029",394,Chhattisgarh (CG)
Durg,Durg,"3,343,079","8,542",391,Chhattisgarh (CG)
Gariaband,Gariaband,"5,97,653","5,823",103,Chhattisgarh (CG)
Gaurela-Pendra-Marwahi,Gaurela-Pendra-Marwahi, –,"1,682", –,Chhattisgarh (CG)
Janjgir-Champa,Naila Janjgir,"1,620,632","3,848",421,Chhattisgarh (CG)
Jashpur,Jashpur Nagar,"8,52,043","5,825",146,Chhattisgarh (CG)
Kabirdham,Kawardha,"5,84,667","4,237",195,Chhattisgarh (CG)
Kanker,Kanker,"7,48,593","6,513",115,Chhattisgarh (CG)
Kondagaon,Kondagaon,"5,78,326",7769,74,Chhattisgarh (CG)
Korba,Korba,"1,206,563","6,615",183,Chhattisgarh (CG)
Koriya,Baikunthpur,"6,59,039","6,578",100,Chhattisgarh (CG)
Mahasamund,Mahasamund,"1,032,275","4,779",216,Chhattisgarh (CG)
Mungeli,Mungeli,"7,01,707","2,750",255,Chhattisgarh (CG)
Narayanpur,Narayanpur,"1,40,206","6,640",20,Chhattisgarh (CG)
Raigarh,Raigarh,"1,493,627","7,068",211,Chhattisgarh (CG)
Raipur,Raipur,"4,062,160","13,083",310,Chhattisgarh (CG)
Rajnandgaon,Rajnandgaon,"1,537,520","8,062",191,Chhattisgarh (CG)
Sukma,Sukma,"2,49,000","5,636",49,Chhattisgarh (CG)
Surajpur,Surajpur,"6,60,280","6,787",150,Chhattisgarh (CG)
Surguja,Ambikapur,"4,20,661","3,265",150,Chhattisgarh (CG)
,Chhattisgarh (CG),,,,
,Chhattisgarh (CG),,,,
,Chhattisgarh (CG),,,,
,Chhattisgarh (CG),,,,
,Chhattisgarh (CG),,,,
North Goa,Panaji,"817,761","1,736",471,Goa (GA)
South Goa,Margao,"639,962","1,966",326,Goa (GA)
Ahmedabad,Ahmedabad,"7,208,200","8,707",890,Gujarat (GJ)
Amreli,Amreli,"1,513,614","6,760",205,Gujarat (GJ)
Anand,Anand,"2,090,276","2,942",711,Gujarat (GJ)
Aravalli,Modasa,"1,051,746","3,217",327,Gujarat (GJ)
Banaskantha,Palanpur,"3,116,045","12,703",290,Gujarat (GJ)
Bharuch,Bharuch,"1,550,822","6,524",238,Gujarat (GJ)
Bhavnagar,Bhavnagar,"2,877,961","11,155",288,Gujarat (GJ)
Botad,Botad,"656,005","2,564",256,Gujarat (GJ)
Chhota Udepur,Chhota Udepur,"1,071,831","3,237",331,Gujarat (GJ)
Dahod,Dahod,"2,126,558","3,642",582,Gujarat (GJ)
Dang,Ahwa,"226,769","1,764",129,Gujarat (GJ)
Devbhumi Dwarka,Khambhalia,"752,484","5,684",132,Gujarat (GJ)
Gandhinagar,Gandhinagar,"1,387,478",649,660,Gujarat (GJ)
Gir Somnath,Veraval,"1,217,477","3,754",324,Gujarat (GJ)
